2022-03-24 15:15:11.8300|Debug|Exception: The best overloaded method match for 'System.Collections.Generic.List<long>.Add(long)' has some invalid arguments | 
2022-03-24 15:16:37.6717|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:16:37.8025|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:17:05.6171|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:17:05.6394|Info|Запрос на добавление Transfer | 
2022-03-24 15:17:05.6394|Info|Запрос на проверку валюты | 
2022-03-24 15:17:05.6394|Info|Запрос на проверку валюты | 
2022-03-24 15:17:05.6394|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:17:05.6594|Info|Валюта конвертирована | 
2022-03-24 15:17:05.6924|Info|Подключение к базе данных. | 
2022-03-24 15:17:05.6924|Info|Подключение произведено. | 
2022-03-24 15:17:06.7575|Debug|Exception: The best overloaded method match for 'System.Collections.Generic.List<long>.Add(long)' has some invalid arguments | 
2022-03-24 15:37:12.5755|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:37:12.6857|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:38:09.9599|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:38:09.9839|Info|Запрос на добавление Transfer | 
2022-03-24 15:38:09.9839|Info|Запрос на проверку валюты | 
2022-03-24 15:38:09.9839|Info|Запрос на проверку валюты | 
2022-03-24 15:38:09.9839|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:38:10.0063|Info|Валюта конвертирована | 
2022-03-24 15:38:10.0362|Info|Подключение к базе данных. | 
2022-03-24 15:38:10.0480|Info|Подключение произведено. | 
2022-03-24 15:38:10.6775|Info|Транзакция типа Transfer с id = 49224160,49224161 добавлены в БД. | 
2022-03-24 15:38:10.6843|Info|Транзакция типа Transfer успешно добавлены | 
